	content	label
0	벽 세우는게 간단해서 손가락만 있으면 가능. 단, 프로모드(현질)가 아니라서 정확한 치수는 사용이 안됨. 단차가 있는 부분은 시공으로 구조물을 만들면 되지만 실수로 이동시켜버리면 다시 맞춰야 되서 까다로움. 일부 사물 들은 회전이 안되거나 벽에 붙어버리는 경우가 있고, 다른 사물이 있으면 겹쳐버려서 사물위에 사물을 올리는게 제한되는 것들이 있음. 그럼에도 불구하고 매우 만족스러움. 요구사항으로는 사물 사이 거리를 측정할 수 있는 기능이 있었으면 함.	1
1	안녕하세요~ 이 게임 예전부터 즐겨했는데 괜찮고 문제 없었어요. 가구 진짜 많고 검색 기능도 있어요. 가장 상단에 왼쪽 눌러서 이미지 불러와서 집 디자인하기 버튼이 있는데 그거 진짜 괜찮아요. 제가 네이버에서 저희집 검색해서 구조 캡쳐하고 거기 가서 이미지 눌렀더니.. WOW 놀랐습니다. 갭쳐한거 그대로 뭐 화면 화질 저하없이 진짜 그대로 와요. 그러고서 벽 크기 조정하고 집 구조대로 그렸더니 진짜 내집인줄.. 퀄리티 진짜 엄청 살아있어요. 나머지 기능들도 설명해 드리자면 일단 방이나 주방, 야외공간, 실내 시네마 등 여러가지를 골라 선택 할 수 있어요. 그리고 휴지통 기능이 마음에 들어요. 내가 실수 해서 잘못 지우거나 그럴 때 방 복원하기 버튼 클릭하면 복원이 돼요. 이 게임 한번 꼭 해보세요. 저는 프로 버전 구매해서 다른 여러가지를 더 많이 꾸밀 수 있지만 이직 구매 안하신 분들은 좀 꾸미시는데 불편한 감이 없지않아 있습니다. 근데 저는 프로버전 구매 안하시는 것을 추천드림	1
3	일단 광고도 안나오고 물건도 다양하고 사용하기도 쉽고 그런데 처음에 들어가면 현질이 떠서 잘못 누를까봐 불안하고 물건을 누르면 가끔씩 현질? 같은 창이 떠서 불안하긴 한데 게임 자체가 재미있고 중독성이 있어서 그렇게 불안하진 않는데 그래도 약간 불안해서 그래도 조심만하면 될거같네요 게임 다체는 재미있어요 한번 다운하시길 추천합니다 대신 처음에 들어가면 현질 창이 뜨는데 그거를 조심하시고 오른쪽 위에 ×표시가 있거든요 그거 누르고 방이나 이런거 선택하고 가끔씩 현질? 같은 창이떠도 현질아니니까 (확실하지 않음) 꿀잼이긴 해요! 추천할께요	1
4	아 너무 좋아요. 근데 제가 버그하나 제보좀 할게요. 버그 제보하는 방법을 몰라서 여기에 쓸게요. 사진 탭에서 사진을 꺼내고 있었는데 다 꺼내고 인테리어를 하고 쇼핑목록을 봤거든요? 근데 사진을 하나씩만 꺼냈는데 수량이 2 로 되어있네요? 수량을 1로 다 바꿨는데도 다시 돌아와 보니깐 다시 2로 되어있어요 수정 부탁드려요. ㅡㅡ버그가 또 있네요? 키친 탭에서 높은 케비닛 창 이랑 베이스 케비닛 창 이랑 똑같아요 화면이 이 버그도 수정 부탁드려요 (꾸벅)😊	1
5	인테리어하는거 좋아하는 사람은 진짜 강추 !! 안 좋아하는 사람들도 취미로 하기 재밌을것 같아용 ..! 그냥 인테리어 한번 해볼까 하는 생각에 깔았는데 진짜 재밌네요 처음에 프로가입 나와도 신경쓰지 마시고 오른쪽 상단에 ×눌러주시면 바로 인테리어 할수 있답니다 제가 강추하는 이유에도 4점을 드린이유는 프로만 쓸수있는 아이템이 있다는 거에요. 물론 돈을 벌어야겠지만 이거 잘어울릴것 같은데 하는게 프로라서 ..ㅠ 그리고 3D화면으로 돌리면 옆으로 돌아가는 게 너무너무 느려요 ... 장점은 로그인을 안해도 된다는 점이에요 로그인이 있는 게임이면 저장이 안되는 게임도 많고 그레서 편했고 광고가 아예 안나와요 진짜 광고 버튼도 찾아 볼수가 없어요 ㅋㅋ 그리고 가구를 사는데 막 게임상 지폐 ? 같은걸 안 모아도 된다는 점이에요 집꾸미는 게임같은 경우에 가구살려면 돈모으고 가구 하나사고 돈모으고 가구하나 사고 그랬는데 그런게 없어서 좋았습니다 긴글 봐주셔서 감사합니다 ..!!!	1
6	렉이 매우매우 심하고요ㅡㅡ 그리고 유료창이 자꾸 뜨고 유료로 안하면 안되는게 많던데.. 예를 들면 색을 바꾼다던가? 이런것을 좀 줄여주시고 버그 제보할께요! 3d를 보는데 벽에 벽에 끼는? 그런 버그가 있고 자주 튕겨져 나가네요 그래서 제 건축도면 한거 다 날라갔습니다;;;; 처음부터 다시해야 되네요.. 하..이거 사용자분들..버그나 렉 조심하세요!! 그러나 좋은점도 있긴 있습니다!! 1.광고가 안나옵니다. 2. 조작이 쉽습니다. (끝)	0
7	진짜..너무 좋아요..광고도 없고 인테리어 하기에도 좋고 처음본 사람도 할수있을만큼 쉽고 편해요! 가구들도 색깔 기구 모든것들이 좋고 특이 물이 리얼했어요 너무 추천드리고 좋은 앱 만들어주셔서 감사해요	1
8	제가 어리긴 하지만 집 꾸미는걸 좋아해요!그래서 이 앱을 다운로드 했는데!저는 막...블럭 맞추는걸 않좋아해요!그런데 이 앱은 블럭 맞추는것도 없어서 너무 쉽게 사용할수 있어요! 그런데 않좋은점은 가끔 현질 유도가 나오기도하고,방의 갯수도 정해있어서4점 드립니다!	1
9	자꾸 마음대로 회전되고 스크롤 중에 가구 마음대로 회전합니다. 소프트웨어는 괜찮은 것 같지만 사용성이 떨어져 결국 사용 포기합니다.. 아마 저런 불편함이 없었으면 프로버전 구매 고려해봤을 수도 있을 듯요	0
10	안녕하세요? 정말 오래 사용한 사람입니다 제가 또 집 인테리어?꾸미기? 이런걸 좋아해요! 그래서 이 게임을 깔아보니 제 취향에도 맞는거 있죠! 근데 두가지 단점이 있어요 1.화면이 마음대로 돌아가요! 2.화장대가 두개 밖에 없어서 화장대를 여러개를 만들면 좋겠어요! 아무튼 간에 게임은 너무 좋고 활용감도 좋네요😀 나중에 이사갈때 쓰면 좋겠네요😀 이 게임이 재미없다는 사람들은 비호감 일것같네요ㅎㅎ 재밌고 정말즐거운 게임이네요! 화장대는 여러개 꼭 만들어주셔야돼요! 도장:⭐⭐⭐⭐⭐	1
11	깔아본 인테리어 앱 중에서 무적권 1위 입니다 현질유도 거의 없구 가구 색 이나 뭐 이런거 바꿀때만 프로 모드로 해야하긴 한데 굳이 안해도 내가 원하는 대로 에쁜 인테리어 할 수 있습니다 광고도 없구요 저만 그런지는 모르겠는데 가끔 렉이 걸려서 안움직일 때가 있어요 이러면 앱 나가고 다시 들어오면 됨 암튼 그래도 렉 같은 건 무시할 수 있을 정도로 좋아여 (>._.<)!!	1
12	완전 좋은 게임!! 물건과 벽들을 마음대로 할수 있고 광고 1도 안나옴!! 현질유도 한다던데, 별로 색바꾸는거 외에는 거이 유도 안함요. 아주 좋은 게임~! 근데 침대 밑에 책상있는 그런 가구엔 책상에 물건을 못놔둬서 아쉽...	1
13	인테리어에 관심이 정말 많은데 이 앱 정말 유용한것 같아요!!ㅎㅎ 다만 두가지 단점이 있어요ㅠㅠ..우선 가구를 벽에 딱 붙이는게 안돼요..딱 붙이려 하면 저절로 가구가 회전이 돼요ㅠㅠ 그리고 가구가 많이 없어요.. 인테리어 구상을 해볼때 비슷한 제품으로밖에 안됩니다..	1
14	이 게임은 정말 좋은것같습니다.집도 마음대로 꾸미고,또한 수 많은 인테리어 장식품들을 따라해서 현실 집에서 인테리어를 해도 좋을거 같습니다.	1
15	초반에는 재밌었으나, 갈수록 발암임; 렉이 장난아니고 무엇보다 조작. 조작때문에 움직일수가 없음. 오른쪽으로 방향돌리면 왼쪽으로 돌려지지않나;; 방향이 모든게 반대라서 뭐가뭔지 하나도 모르겠음 그리고 가구편집중에 움직이질 못하니 암걸릴지경 리뷰보고 깔았더니 망겜 가구 몇몇갠 이쁜데 정작 맘에 드는건 현질임ㅋㄹㅋㅋㅋ 내가 깔았던 인테리어 앱중에 제일 최악임 제발 깔지마세요	0
16	솔직히 처음엔 괜찮았는데 점점 마음에 별로 안드네요. 첫번째로 가격이 비싸요.. 아니 진짜 제품도 아닌데 백만원 넘는건 너무하지 않나요..? 진짜 황당 했습니다. 두번째로 터치가 안됩니다 가구 삭제 하려고 하려고 하는데 먹통 진짜 심해요.. 그리고 가끔 끊기고요... 계속 이렇게 유지 된다면 별로... 입니다.. 기술 수행 하고 말거 같네요..	0
17	가구 그런건 다 예쁘고 다른 인테리어 앱에서는 이앱이 가장 좋은앱이긴한데 컨트롤이 잘 안됩니다 확대할때 갑자기 크게 확대되질 않나 방향 돌릴때 그냥 집이 돌아가버리질 않나 사용하기가 불편합니다 가구들 방향도 자기혼자서 돌아가고 가구를 원하는 곳에 설치하고싶은데 설치가 안되고 가구 움직일때 렉걸리면서 지혼자 돌아다니고 가구들을 추가시키는것보다 렉걸리는거 고치고 컨트롤을 더 쉽게할수있게 바꿔야하는게 우선일것 같습니다 아니면 이앱 더이상 쓰는사람 없어질것 같네요.	0
19	가구가 안움직여서 수업시간에 못했어요 이 앱 이상해요	0
20	저는 퍼즐도 없고 무료인 이앱을 추천하고 재미도 있어요! (집꾸미기 좋아하시는분에게 추천합니당!)	1
21	뭐 사용해보기도 전에 돈부터 내라고 하네요. 이게 쓸만한 앱인지도 모르는데, 무료버전만 봐도 사용하기 영 불편해보이네요.	0
22	제가어린초딩입니다 제가 방이좁아서 꾸미고싶은데로못꾸몄어여 근데 이앱떼문에 그런 마음이싹풀렸어요 이앱 짱짱 추천❤❤❤❤	1
23	조작이 어렵고 할수있는 것도 없다	0
24	너무 좋아여 ♡ 하지만 방 갯수가 정해져 있어요 그래서 지웠다 깔았다 반복하고 있어요 또 크기 줄이기나 색상 바뀔 수 있는게 현질을 해야만 된다는게 조금 걸려서 4개 드립니다 😂 ㅎㅎ	1
25	프로버젼 잠깐했었는데, 기능은 별로 비싸기만함. 프로이후에 조금이라도 수정하려면 제대로 되지도 않음	0
26	이거 완전 추천합니다!!!!!!! 게임으로 플레이 하고 있는 한 유저입니다. 친구가 인테리어가 꿈인 친구가 있는데 그 친구땜에 한번 깔아봤어요. 근데 엄청 재미있어요!!! 저는 그냥 집을 꾸미고 싶어서 그냥 깔았는데 집 한채를 만들면 엄청 뿌듯해요ㅎㅎ 그리고 벽 그리기도 완전 쉽고ㅎ (저 초등학생이에요♡)이거 그냥 게임으로 해도 강추입니다♡♡♡♡♡	1
27	정말 최고에 앱입니다!자기 마음대로 방,인테리어를 해서 너무좋구 조금 사야되는것도 있지만 무료로 할수 있는게 더 많구요,3D로 하면 진짜 집 같아서 좋구 넘 튜토리얼이나 그런게 너무 어렵지 않아서 좋아요!	1
28	정말괜찮은데 정말좋은데 하나단점을뽑자면 조이스틱조정하기가너무어렵네요 3D 2D 이런거말고 자유로운움직임으로 수정을해주시면좋겠네요 그리고 방넓히는거 몇개는유료가 아니였음해요 그것만고치면 별다섯개입니다!!	1
29	많은 분들이 오해하시던데, 여기 나오는 물건들 옆에 가격이 표시되어 있는데 진짜 결제가 되는게 아니라 실제 이 제품의 가격을 표현한 것 입니다! 저도 많이 헷갈렸는데 잘 알것 같더라고요 :> 그니까 맘편하게 플레이 하셔도 된답니다. 앱은 너무 좋아요 !	1
30	"이사 전 방 가구 배치할때 유용해요! 근데 자꾸 가구를 벽에서 살짝 띄우고 싶은데 멋대로 붙거나 회전하는 경우는 있네요. 후기 중 거실 선택하면 다른가구(부엌 가구 등)가 안뜬다는점이 있다고 했는데 항목 중에 그 ""다른방"" 클릭하면 거실에도 부엌가구 넣을 수 있고 뭐 그럽니다 좋아요."	1
31	아주 좋지만 한국어 최적화가 안되있고, 최근 사용한 색 찾기나, 벽으로부터 거리 조절하기 등 추가로 너었으면 하는 기능이 없어서 아쉽네요	1
32	이 앱을 잘 쓰고있는 유저입니다 이 게임은 퍼즐같은 게임을 하지않고 돈도 벌지않고 꾸밀수 있어서 좋고 3D와2D가 있어서 정말 편하게 쓰고 있습니다 광고도 없어서 편하게 쓰고있고 인테리어를 좋아하는 분들에게 정말 추천하는데요 화면을 마음대로 움직일수 없어서 불편합니다 ㅠ 그리고 방 따로 꾸밀수 있어서 좋은데 그냥 집처럼 거실도 있고 화장실도 있고 방도 있고 이런 맵 만들어주세요 ㅠ	1
